id	section	stakeholder	question	answerable_now	answerable_now_raw	answerability_promotion	dashboard_location	metric_used	time_window	how_derived	owner	gap_note	verdict	confidence	reproducible
F4	F Researchers	Researchers / thesis readers	Can baseline and stress runs be compared on identical axes/time windows?	Y	Y	not_applicable	ScenarioComparisonPanel	length_aligned; time_aligned	Current 26w vs baseline 26w	Baseline and stress runs are aligned on identical time axes.	AutoEvaluator	None	yes	0.90	true
F5	F Researchers	Researchers / thesis readers	Is dispersion shown (median, IQR, tails), not just single runs?	Y	Y	not_applicable	Simulator/Sandbox	dispersion_fields_available	W25	Dispersion statistics (percentiles and confidence intervals) are available.	AutoEvaluator	None	yes	0.94	true
F6	F Researchers	Researchers / thesis readers	Are failure modes mapped to measurable precursor signals?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Diagnostic/SignalsOfDeathPanel; DecisionTree/Risk	mapped_failure_mode	W25	Failure-mode mapping is tied to measurable precursor signals (current mode: Provider Capitulation).	AutoEvaluator	Failure-mode mapping is tied to measurable precursor signals (current mode: Provider Capitulation).	yes	0.85	true
F7	F Researchers	Researchers / thesis readers	Are causal claims avoided where only directional evidence exists?	P	P	remains_P	Methodology/Disclaimers	causal_model_present; directional_proxy_mode	Framework-level	Current evaluator framework is directional/proxy-based and does not claim causal identification.	AutoEvaluator	Current evaluator framework is directional/proxy-based and does not claim causal identification.	yes	0.74	true
F8	F Researchers	Researchers / thesis readers	Are non-goals explicit (no price prediction, no success forecasting)?	Y	Y	not_applicable	Diagnostic/AuditDashboard	non_goal_price_prediction; non_goal_success_forecast	Framework-level	Non-goals are explicitly framed (no direct price prediction or deterministic success forecasting).	AutoEvaluator	None	yes	0.90	true
F9	F Researchers	Researchers / thesis readers	Are model limitations visible at point of interpretation?	P	P	remains_P	Methodology/Disclaimers; MetricEvidenceLegend	limitation_signal_count	Run context	Model-limit context is sufficiently surfaced for interpretation.	AutoEvaluator	Model-limit context is sufficiently surfaced for interpretation.	yes	0.72	true
F10	F Researchers	Researchers / thesis readers	Can results be traced from parameter input to observed outcome?	Y	Y	not_applicable	Simulator/Sidebar; Simulator/Sandbox	traceability_complete; run_id	Seed 42 -> W1-25	Results are traceable from parameter input state to observed simulation outcomes.	AutoEvaluator	None	yes	0.95	true
F11	F Researchers	Researchers / thesis readers	Are cross-scenario signatures distinguishable and interpretable?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; DecisionTree/Risk	current_signature_mode; baseline_signature_mode; signature_risk_delta_pp	Current vs baseline scenario	Cross-scenario signatures are only weakly distinguishable in this comparison.	AutoEvaluator	Cross-scenario signatures are only weakly distinguishable in this comparison.	at_risk	0.80	true
F12	F Researchers	Researchers / thesis readers	Is comparative robustness emphasized over absolute ranking?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Benchmark/ComparativeMatrix; Benchmark/HealthMetricsBarChart	risk_delta_vs_baseline_pp; retention_delta_vs_baseline_pp	Current vs baseline comparative frame	Comparative robustness is emphasized through relative risk/retention deltas.	AutoEvaluator	Comparative robustness is emphasized through relative risk/retention deltas.	yes	0.82	true
F13	F Researchers	Researchers / thesis readers	Are archetype diagnostics connected to observable dashboard signals?	Y	P	promoted_from_P_confidence>=0.79_reproducible	Diagnostic/ArchetypeLogicPanel; DecisionTree/Miner	archetype_signal_connection; current_failure_mode	W25	Archetype diagnostics are connected to observable tier/churn/solvency signals.	AutoEvaluator	Archetype diagnostics are connected to observable tier/churn/solvency signals.	yes	0.80	true
F14	F Researchers	Researchers / thesis readers	Are policy implications framed as considerations, not universal prescriptions?	P	P	remains_P	DecisionPromptCard; Diagnostic/StrategicRecommendationsPanel	policy_frame_mode	Framework-level	Policy outputs are framed as conditional considerations tied to run context rather than universal prescriptions.	AutoEvaluator	Policy outputs are framed as conditional considerations tied to run context rather than universal prescriptions.	yes	0.76	true
G1	G Comparative	Comparative DePIN analysts / community	How does Onocoy profile compare with archetype peers under identical stress?	P	P	remains_P	ScenarioComparisonPanel; Benchmark/ComparativeMatrix	comparative_profile_score; risk_delta_vs_peer_pp; retention_delta_vs_peer_pp; coverage_delta_vs_peer_pp; solvency_delta_vs_peer	Current profile vs baseline archetype profile (matched horizon)	Onocoy profile is comparatively weaker versus peer archetype under matched stress.	AutoEvaluator	Onocoy profile is comparatively weaker versus peer archetype under matched stress.	no	0.78	true
G2	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to demand contraction?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Utility; DecisionTree/Financial	demand_contraction_pct; min_coverage_pct; min_solvency_ratio; provider_collapse_pct	W1 to W25	Demand contraction is not active in this run; robustness signal is provisional.	AutoEvaluator	Demand contraction is not active in this run; robustness signal is provisional.	at_risk	0.80	true
G3	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to liquidity shocks?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; DecisionTree/Utility	liquidity_shock_active; min_coverage_pct; provider_collapse_pct	W1 to W25	Liquidity-shock robustness is assessed from post-shock coverage and collapse behavior.	AutoEvaluator	Liquidity-shock robustness is assessed from post-shock coverage and collapse behavior.	no	0.81	true
G4	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to competitive yield pressure?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Utility	competitor_yield_x; vampire_churn_avg; min_coverage_pct; retention_pct; provider_collapse_pct	W1-25	Competitive-yield robustness is inferred from coverage floor, retention floor, and collapse severity.	AutoEvaluator	Competitive-yield robustness is inferred from coverage floor, retention floor, and collapse severity.	no	0.79	true
G5	G Comparative	Comparative DePIN analysts / community	Which mechanisms are more robust to provider cost inflation?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; DecisionTree/Utility	provider_cost_delta_vs_reference_pct; retention_pct; min_solvency_ratio; min_coverage_pct	W1 to W25	Cost-inflation robustness is inferred from retention, solvency floor, and coverage floor.	AutoEvaluator	Cost-inflation robustness is inferred from retention, solvency floor, and coverage floor.	no	0.80	true
G6	G Comparative	Comparative DePIN analysts / community	Does sunk-cost friction materially slow churn?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Miner; Diagnostic/SignalsOfDeathPanel	pro_retention_pct; mercenary_retention_pct; retention_gap_pp; lag_shock_to_churn_weeks	W1-25	Sunk-cost friction signal is weak or only partial in this run.	AutoEvaluator	Sunk-cost friction signal is weak or only partial in this run.	at_risk	0.80	true
G7	G Comparative	Comparative DePIN analysts / community	Which failure mode appears earliest by mechanism type?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; DecisionTree/Financial	earliest_failure_signature; earliest_failure_week	First breach at W1	Earliest detected failure signature is Subsidy Trap.	AutoEvaluator	Earliest detected failure signature is Subsidy Trap.	at_risk	0.84	true
G8	G Comparative	Comparative DePIN analysts / community	Is Onocoy’s capped-supply profile trading flexibility for anti-dilution resilience?	P	P	remains_P	Benchmark/HealthMetricsBarChart; DecisionTree/Utility	mint_pressure_pct_supply_weekly; solvency_ratio; demand_coverage_pct; utilization_pct	W25	Anti-dilution resilience is not strong enough to infer this tradeoff.	AutoEvaluator	Anti-dilution resilience is not strong enough to infer this tradeoff.	no	0.77	true
H1	H Token	Token holders / treasury-risk readers	Is net emission pressure increasing or decreasing?	Y	Y	not_applicable	DecisionTree/Financial; Benchmark/SolvencyProjectionChart	net_emission_pressure_current_pct_supply; net_emission_pressure_delta	W24 vs W25	Net emission pressure is increasing week-over-week.	AutoEvaluator	None	at_risk	0.90	true
H2	H Token	Token holders / treasury-risk readers	Is burn-to-mint trending toward or away from solvency?	Y	Y	not_applicable	DecisionTree/Financial; Benchmark/SolvencyProjectionChart	burn_to_mint_ratio_current; burn_to_mint_ratio_delta	W24 vs W25	Burn-to-mint trajectory is moving away from solvency.	AutoEvaluator	None	no	0.91	true
H3	H Token	Token holders / treasury-risk readers	How severe is unlock-event downside under current liquidity depth?	Y	Y	not_applicable	DecisionTree/Risk; Simulator/Sidebar Tokenomics	unlock_sell_pct; initial_liquidity_usd; unlock_downside_severity_score; max_drawdown_pct	Current liquidity/unlock state at W25	Estimated unlock-event downside severity score is 56.0/100.	AutoEvaluator	None	at_risk	0.84	true
H4	H Token	Token holders / treasury-risk readers	How much of provider retention is subsidy-supported vs economically viable?	P	P	remains_P	Diagnostic/SolvencyScorecard; DecisionTree/Miner	subsidy_supported_retention_pct; economically_viable_retention_pct; underwater_provider_count	W25	Estimated subsidy-supported retention share is 8.0% (economically viable share 92.0%).	AutoEvaluator	Estimated subsidy-supported retention share is 8.0% (economically viable share 92.0%).	no	0.77	true
H5	H Token	Token holders / treasury-risk readers	Are price shocks likely to trigger second-order infrastructure attrition?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Risk; DecisionTree/Miner	shock_detected; lag_shock_to_churn_weeks; lag_churn_to_capacity_weeks; provider_collapse_pct	Shock at W1 onward	Price shocks are likely to trigger second-order infrastructure attrition in this run.	AutoEvaluator	Price shocks are likely to trigger second-order infrastructure attrition in this run.	yes	0.83	true
H6	H Token	Token holders / treasury-risk readers	Which treasury/risk buffers are needed to absorb market dislocation?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Financial; Diagnostic/SolvencyScorecard	treasury_balance_usd; modeled_daily_deficit_usd; required_buffer_90d_usd; required_buffer_180d_usd; buffer_gap_90d_usd; buffer_gap_180d_usd	W25 treasury stress buffer view	Current treasury buffer covers at least a 90-day modeled dislocation deficit.	AutoEvaluator	Current treasury buffer covers at least a 90-day modeled dislocation deficit.	no	0.80	true
H7	H Token	Token holders / treasury-risk readers	Are we diluting to preserve short-term participation?	Y	P	promoted_from_P_confidence>=0.79_reproducible	DecisionTree/Financial; Simulator/Sandbox Tier 1	net_emission_tokens_week; providers_delta_wow_pct	W24 vs W25	No net dilution pressure is visible in the current state.	AutoEvaluator	No net dilution pressure is visible in the current state.	no	0.82	true
H8	H Token	Token holders / treasury-risk readers	Are interventions improving long-run solvency or postponing adjustment?	Y	P	promoted_from_P_confidence>=0.79_reproducible	ScenarioComparisonPanel; Benchmark/SolvencyProjectionChart	long_run_risk_delta_pp; late_window_solvency_delta	Intervention run vs baseline run	Intervention appears to postpone adjustment more than structurally improve solvency.	AutoEvaluator	Intervention appears to postpone adjustment more than structurally improve solvency.	at_risk	0.81	true
H9	H Token	Token holders / treasury-risk readers	How exposed is network health to token volatility?	Y	Y	not_applicable	DecisionTree/Risk; DecisionTree/Miner	volatility_exposure_score; max_drawdown_pct; provider_collapse_pct	W1-25	Network health exposure to token volatility is high (score 74.7).	AutoEvaluator	None	at_risk	0.88	true
H10	H Token	Token holders / treasury-risk readers	Are we approaching conditions consistent with death-spiral probability alerts?	Y	Y	not_applicable	DecisionTree/Risk; Benchmark/SolvencyProjectionChart	death_spiral_probability_pct; insolvency_weeks; provider_collapse_pct; max_drawdown_pct	W1 to W25	Current path is approaching death-spiral alert conditions.	AutoEvaluator	None	at_risk	0.86	true
M1	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we directly measure spoofing detections from the dashboard today?	N	N	not_applicable	Sandbox > Onocoy Hook Layer > Integrity Pressure > Missing Primary Inputs; onocoyHookSnapshot.missingInputs	required_input; current_input_mode	N/A (primary spoofing telemetry unavailable)	Primary spoofing-detection telemetry is not wired; dashboard currently falls back to proxy-only integrity signals.	AutoEvaluator	Primary spoofing-detection telemetry is not wired; dashboard currently falls back to proxy-only integrity signals.	insufficient_data	0.99	false
M2	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we directly measure slashing-event counts from the dashboard today?	N	N	not_applicable	Sandbox > Onocoy Hook Layer > Integrity Pressure > Missing Primary Inputs; onocoyHookSnapshot.missingInputs	required_input; current_input_mode	N/A (primary slashing telemetry unavailable)	Primary slashing-event telemetry is not wired; dashboard currently uses proxy-only slashing rate assumptions.	AutoEvaluator	Primary slashing-event telemetry is not wired; dashboard currently uses proxy-only slashing rate assumptions.	insufficient_data	0.99	false
M3	I Onocoy Inputs	Onocoy governance / DAO / foundation	Can we use canonical on-chain/token-plan unlock events instead of scenario proxy unlocks?	N	N	not_applicable	Sandbox > Onocoy Hook Layer > Unlock Curve > Missing Primary Inputs; onocoyHookSnapshot.unlockSource	required_input; current_input_mode	N/A (canonical unlock schedule unavailable)	Canonical on-chain/token-plan unlock events are not wired; unlock analysis still uses scenario-proxy curves.	AutoEvaluator	Canonical on-chain/token-plan unlock events are not wired; unlock analysis still uses scenario-proxy curves.	insufficient_data	0.99	false
